customer_id,member_type,region_1,region_2
b6b7ccc7f436,비회원,제주특별자치도,제주시
3042f7607e92,비회원,경남,김해시
7d8832bdb097,비회원,경기,이천시
2ca8521bf5f1,비회원,부산,남구
d2c3b176ece0,비회원,충남,천안시
4afd19d2c4b9,비회원,충남,아산시
482eabbe5708,비회원,부산,동
9ca89d226744,비회원,전북특별자치도,완주군
fa96ec55ba78,비회원,전북특별자치도,고창군
181e35573019,비회원,경북,포항시
1f68c993f910,비회원,대구,동
9358f2fa5bca,비회원,경기,남양주시
f45d5d93158f,비회원,부산,영도구
ab8748be558a,비회원,경기,의정부시
793fc175c136,비회원,강원특별자치도,춘천시
4c8f6548852e,비회원,경북,구미시
8d4267f210e9,비회원,경북,경주시
8d20b88d6f0b,비회원,울산,울주군
9b5a27b488e3,비회원,광주,광산구
726a65be0788,비회원,경기,이천시
4b9751b127e3,비회원,충남,천안시
4fb43728c6f3,비회원,경남,양산시
b3070efd51cb,비회원,경북,구미시
3c2714b04ca3,비회원,대전,유성구
863ff5aad60e,비회원,전북특별자치도,김제시
8822f48c99bb,비회원,부산,금정구
825ee204f980,비회원,인천,남동
6f423bcbcb1d,비회원,경기,용인시
10e40c66197e,비회원,강원특별자치도,양구군
aa8f26706b9f,비회원,경기,김포시
7d1e30ab97d5,비회원,경기,이천시
80c42810d4fb,비회원,대구,달서구
2a24453bb94b,비회원,부산,연제구
73b59b60fb47,비회원,서울,중랑구
0419eb71e00f,비회원,경북,포항시
dc75d5d51db7,비회원,경기,구리시
8167953fcb1e,비회원,부산,부산진구
212c0c066a5e,비회원,경기,성남시
8394367bc0e5,비회원,전북특별자치도,전주시
74899c291c65,비회원,서울,강서구
b57be3627aeb,비회원,경기,안산시
9a7bcf54ba84,비회원,경남,창원시
708300c51060,비회원,경기,수원시
38a4ab1cb758,비회원,전북특별자치도,정읍
4d961fb16034,비회원,울산,남구
12aae1f86528,비회원,충북,청주시
bbdd80d8fa78,비회원,경기,용인시
636f145a1329,비회원,경남,양산시
c8101efe952e,비회원,경기,이천시
3aeec5cbf210,비회원,경기,수원시
13df8075f9cd,비회원,경북,상주시
8e4bab1afd1e,비회원,부산,해운대구
4079afa0e0e5,비회원,충북,충주시
bc053a9e4ef3,비회원,울산,남구
ffa43fc89443,비회원,인천,중구
9ab50199aed8,비회원,서울,광진구
b69d251cbf6f,비회원,충남,아산시
3468a0df7404,비회원,서울,서초구
8adcceccc49a,비회원,경기,수원시
ad66623b39e2,비회원,서울,송파구
86a10fcecc0a,비회원,서울,서대문구
55769ab1e6fd,비회원,서울,광진구
33c23c3a3bab,비회원,경기,안양시
c30c18e4af7b,비회원,대구,북구
2716c268585d,비회원,경기,양주시
033f42ff536c,비회원,경북,구미시
3d4d6865e9fa,비회원,부산,사하구
bdd24917199b,비회원,서울,용산구
e221bc2d4bd1,비회원,울산,동
9171c069a1a9,비회원,경남,창원시
422440b9f390,비회원,경기,광주시
56cccd6c66f8,비회원,서울,성북구
247dd8bddccd,비회원,경남,김해시
c1f2e916cfb5,비회원,서울,서초구
40d069f15a9d,비회원,경북,경산시
97553dcacfe3,비회원,충북,청주시
66343c0e0700,비회원,충남,논산시
bf2a132f0587,비회원,세종특별자치시,도움3로
110cce8aeb81,비회원,서울,성북구
5f92aaf06757,비회원,강원특별자치도,강릉시
10baa3afc447,비회원,울산,울주군
61afb0c65db2,비회원,경남,창원시
